cur    send
0.3263 0.3268
0.3263 0.3268
0.3263 0.3268
0.3264 0.3269
0.3267 0.3272
0.3270 0.3275
0.3271 0.3276
0.3271 0.3276
0.3273 0.3279
0.3274 0.3280
0.3278 0.3283
0.3279 0.3284
0.3279 0.3284
0.3281 0.3286
0.3282 0.3287
0.3286 0.3291
0.3286 0.3291
0.3288 0.3293
0.3292 0.3297
0.3292 0.3297
0.3293 0.3298
0.3296 0.3301
0.3297 0.3302
0.3298 0.3304
0.3300 0.3305
0.3302 0.3307
0.3303 0.3308
0.3305 0.3310
0.3307 0.3312
0.3308 0.3314
0.3310 0.3316
0.3312 0.3318
0.3314 0.3319
0.3315 0.3320
0.3318 0.3323
0.3320 0.3325
0.3322 0.3327
0.3324 0.3330
0.3326 0.3331
0.3326 0.3332
0.3330 0.3336
0.3332 0.3337
0.3332 0.3338
0.3335 0.3341
0.3336 0.3342
0.3339 0.3345
0.3341 0.3346
0.3341 0.3347
0.3343 0.3349
0.3346 0.3352
0.3347 0.3352
0.3349 0.3354
0.3349 0.3355
0.3354 0.3359
0.3354 0.3360
0.3355 0.3361
0.3359 0.3365
0.3360 0.3365
0.3362 0.3367
0.3364 0.3370
0.3367 0.3373
0.3368 0.3373
0.3370 0.3376
0.3373 0.3379
0.3375 0.3381
0.3378 0.3384
0.3379 0.3384
0.3381 0.3387
0.3384 0.3390
0.3385 0.3390
0.3386 0.3392
0.3389 0.3395
0.3391 0.3397
0.3392 0.3398
0.3394 0.3400
0.3397 0.3403
0.3399 0.3405
0.3402 0.3408
0.3404 0.3410
0.3408 0.3413
0.3409 0.3415
0.3413 0.3419
0.3414 0.3419
0.3416 0.3422
0.3419 0.3425
0.3419 0.3425
0.3421 0.3427
0.3425 0.3431
0.3425 0.3431
0.3430 0.3436
0.3432 0.3438
0.3435 0.3441
0.3437 0.3443
0.3438 0.3444
0.3443 0.3449
0.3443 0.3449
0.3445 0.3451
0.3449 0.3455
0.3449 0.3456
0.3451 0.3457
